rep,estimand,backend,est,se,mu_rmse,alpha_rmse,alpha_mae,fit_seconds,truth
0,ATE,xgboost,3.603553693841682,0.17458517838741594,1.7302832736363352,1.0540637267722213,0.6145077541401299,10.067975282669067,2.999573122975341
0,ATE,sklearn_tree,3.6072525784273073,0.1743316093628442,1.7302832736363352,1.0240665106671278,0.584957853220226,15.653537034988403,2.999573122975341
0,ATE,sklearn_ridge,3.459771228715521,0.165159139886571,1.7302832736363352,1.028699689069056,0.6121226770538337,1.7001588344573975,2.999573122975341
0,ATT,xgboost,3.693169156827641,0.1806263002156438,1.7302832736363352,0.7647250875782544,0.3417886375122308,10.94572401046753,3.204527475072491
0,ATT,sklearn_tree,3.6899652562914382,0.19320572471003888,1.7302832736363352,0.7604867467021446,0.36868653655931405,8.874082088470459,3.204527475072491
0,ATT,sklearn_ridge,3.4456264229095153,0.18112759725661326,1.7302832736363352,0.7964036145945297,0.4421150069234684,1.0677928924560547,3.204527475072491
1,ATE,xgboost,3.597677183186216,0.19632007329897302,1.709812887218086,1.1125844512696597,0.627517647911801,8.52088212966919,2.999573122975341
1,ATE,sklearn_tree,3.566315283858992,0.19610457966453834,1.709812887218086,1.1114218907568219,0.6219713501592419,13.179637908935547,2.999573122975341
1,ATE,sklearn_ridge,3.4509801613616435,0.17713012186234126,1.709812887218086,1.0781451639535105,0.5845025725610103,1.5618481636047363,2.999573122975341
1,ATT,xgboost,3.565309152963099,0.1798002392074903,1.709812887218086,0.7054761925995995,0.3284233086889739,5.827443838119507,3.204527475072491
1,ATT,sklearn_tree,3.5645869341953595,0.17639740568767748,1.709812887218086,0.7121571780489123,0.32675853168088637,9.701802968978882,3.204527475072491
1,ATT,sklearn_ridge,3.4263241318352353,0.1677550066232987,1.709812887218086,0.7256871602256638,0.39651412863100644,1.1026549339294434,3.204527475072491
2,ATE,xgboost,3.6596758101827938,0.18647626101198164,1.7575727222513922,0.8695384647459716,0.5713141983636508,9.369737148284912,2.999573122975341
